NUM     DATE      ADV      DEC    UNCHG   ADVVOL       DECVOL
00111 921105  975.000  812.000  593.000 12052.000       7328        0
00112 921106  892.000  889.000  577.000 9728.000       7742        0
00113 921109  992.000  853.000  565.000 9645.000       7392        0
00114 921110  979.000  819.000  586.000 11340.000       8117        0
00115 921111 1171.000  655.000  539.000 15172.000       6070        0
00116 921112  922.000  875.000  564.000 10805.000       9058        0
00117 921113  922.000  866.000  582.000 8337.000       8208        0
00118 921116  738.000 1082.000  589.000 5321.000       9629        0
00119 921117  778.000 1020.000  599.000 6396.000       9543        0
00120 921118 1193.000  638.000  564.000 13644.000       4925        0
00121 921119  943.000  813.000  615.000 11593.000       6891        0
00122 921120 1103.000  699.000  575.000 16195.000       6575        0
00123 921123  814.000  984.000  594.000 6742.000       8799        0
00124 921124 1101.000  711.000  587.000 13231.000       7829        0
00125 921125 1082.000  745.000  561.000 11090.000       7171        0
00126 921127  984.000  660.000  630.000 5965.000       2957        0
00127 921130 1137.000  665.000  597.000 12470.000       6161        0
00128 921201  922.000  935.000  566.000 10423.000      12085        0
00129 921202  859.000  947.000  596.000 9732.000      11286        0
00130 921203  914.000  871.000  618.000 10248.000       8827        0
00131 921204 1001.000  744.000  666.000 11516.000       7057        0
00132 921207 1210.000  673.000  533.000 13961.000       5305        0
00133 921208 1026.000  817.000  592.000 11446.000       7844        0
00134 921209  734.000 1121.000  577.000 6979.000      12428        0
00135 921210  786.000 1046.000  590.000 9407.000      12266        0
00136 921211  840.000  919.000  631.000 6490.000       6930        0
00137 921214  816.000 1001.000  598.000 7262.000       8517        0
00138 921215  844.000  973.000  616.000 8161.000      11104        0
00139 921216  775.000 1051.000  606.000 8960.000      11650        0
00140 921217 1139.000  664.000  627.000 15798.000       6335        0
00141 921218 1279.000  580.000  575.000 26846.000       6974        0
00142 921221  875.000 1018.000  565.000 9448.000       9855        0
00143 921222  984.000  901.000  556.000 11126.000       9984        0
00144 921223  929.000  894.000  618.000 8714.000      10661        0
00145 921224  948.000  692.000  656.000 4506.000       3290        0
00146 921228  809.000  999.000  596.000 5668.000       6419        0
00147 921229  992.000  815.000  629.000 10235.000       8050        0
00148 921230 1065.000  769.000  606.000 10349.000       5285        0
00149 921231 1126.000  694.000  583.000 8000.000       6094        0
00150 930104  888.000 1046.000  505.000 8108.000       9723        0
00151 930105 1074.000  799.000  547.000 10142.000      10975        0
00152 930106 1091.000  780.000  578.000 13653.000      12007        0
00153 930107  735.000 1158.000  546.000 8457.000      18303        0
00154 930108  687.000 1184.000  557.000 8052.000      15425        0
00155 930111 1098.000  727.000  602.000 11999.000       6661        0
00156 930112  890.000  888.000  632.000 10640.000       9876        0
00157 930113 1075.000  743.000  601.000 12712.000       8507        0
00158 930114 1185.000  689.000  541.000 17714.000       7618        0
00159 930115 1254.000  610.000  566.000 17363.000       9801        0
00160 930118  977.000  868.000  589.000 9935.000       7100        0
00161 930119  979.000  877.000  583.000 14238.000      10984        0
00162 930120  883.000  974.000  584.000 11079.000      12544        0
00163 930121 1008.000  806.000  611.000 13458.000       9297        0
00164 930122 1097.000  762.000  585.000 16455.000       9583        0
00165 930125 1348.000  646.000  462.000 19025.000       7295        0
00166 930126 1097.000  824.000  531.000 15369.000      12282        0
00167 930127  719.000 1160.000  590.000 9984.000      15077        0
